8842|103.95631 +40.00026           | 0.2|UGC 03601                     |06h55m49.53s|+40d00m00.8s|G     |  0.017122|Sy 1.5                                  
8863|39.61425 +1.90769             | 0.2|NGC 1019                      |02h38m27.41s|+01d54m27.8s|G     |  0.024340|Sy 1.5                                  
9160|346.01111 +22.62425           | 0.7|MRK 0315                      |23h04m02.62s|+22d37m27.5s|G     |  0.038870|Sy 1.5                                  
9291|0.61004 +3.35193              | 0.9|NGC 7811                      |00h02m26.47s|+03d21m06.9s|G     |  0.025518|Sy 1.5                                  
9478|40.39529 +7.18717             | 0.4|MRK 0595                      |02h41m34.89s|+07d11m14.1s|G     |  0.026982|Sy 1.5                                  
9502|12.89589 +29.40125            | 0.1|UGC 00524                     |00h51m35.01s|+29d24m04.5s|G     |  0.035955|Sy 1                                    
10076|                              | 1.0|NGC 4395                      |12h25m48.86s|+33d32m48.9s|G     |  0.001064|Sy 1.8                                  
10584|258.96964 +36.40581           | 0.4|UGC 10782 NOTES01             |17h15m52.75s|+36d24m20.9s|G     |  0.037126|Sy 1                                    
10674|239.79019 +35.02987           | 0.2|UGC 10120                     |15h59m09.63s|+35d01m47.5s|G     |  0.031328|Sy 1                                    
10881|226.00499 +10.43780           | 0.1|MRK 0841                      |15h04m01.20s|+10d26m16.2s|G     |  0.036422|Sy 1.5                                  
10896|351.35083 -38.44699           | 0.0|LCRS B232242.2-384320         |23h25m24.20s|-38d26m49.2s|G     |  0.035900|Sy 1                                    
11184|211.69519 +71.88911           | 0.0|CGCG 336-041                  |14h06m46.85s|+71d53m20.8s|G     |  0.034194|Sy 1.9                                  
11187|315.59018 +10.97110           | 0.1|CGCG 425-034                  |21h02m21.64s|+10d58m16.0s|G     |  0.028903|Sy 1.5                                  
11273|45.01797 -10.82461            | 0.0|MCG -02-08-038                |03h00m04.31s|-10d49m28.6s|G     |  0.032589|Sy 1                                    
11373|171.03619 +6.21484            | 0.1|CGCG 039-167                  |11h24m08.69s|+06d12m53.5s|G     |  0.037706|Sy 1.8                                  
11524|252.06355 -30.58450           | 0.0|2MASX J16481523-3035037       |16h48m15.25s|-30d35m04.2s|G     |  0.031000|Sy 1                                    
11649|313.84277 +2.35456            | 0.1|CGCG 374-029                  |20h55m22.27s|+02d21m16.4s|G     |  0.013563|NL Sy 1                                 
