9675|42.33616 +19.30400            | 0.6|IC 1854                       |02h49m20.72s|+19d18m14.1s|G     |  0.031021|Sy 2                                    
9728|343.58194 +11.78248           | 0.1|UGC 12237                     |22h54m19.67s|+11d46m56.9s|G     |  0.028273|Sy 2                                    
9838|218.81213 -69.73330           | 0.0|WKK 3262                      |14h35m14.91s|-69d43m59.9s|G     |  0.025855|Sy 2                                    
10093|40.71704 +7.59775             | 0.5|VV 588                        |02h42m52.12s|+07d35m51.7s|G     |  0.038673|Sy 2                                    
10102|351.88098 +12.38520           | 0.1|NGC 7672                      |23h27m31.44s|+12d23m06.7s|G     |  0.013376|Sy 2                                    
10322|241.40335 +17.80212           | 0.1|IC 1182                       |16h05m36.80s|+17d48m07.7s|G     |  0.034157|Sy 2                                    
10497|59.72679 +10.43418            | 0.2|3C 098                        |03h58m54.44s|+10d26m03.0s|G     |  0.030454|Sy 2                                    
10920|0.49367 +36.64909             | 0.2|CGCG 517-014                  |00h01m58.46s|+36d38m56.6s|G     |  0.032052|Sy 2                                    
10940|355.63730 -65.95649           | 0.0|NGC 7733                      |23h42m32.95s|-65d57m23.4s|G     |  0.033917|Sy 2                                    
10942|22.21449 +2.44650             | 0.3|IC 0123                       |01h28m51.46s|+02d26m47.2s|G     |  0.030618|Sy 2                                    
11006|358.93427 +30.21226           | 0.5|CGCG 498-038                  |23h55m44.26s|+30d12m44.4s|G     |  0.030821|Sy 2                                    
11111|8.95326 -13.61064             | 0.0|NGC 0166                      |00h35m48.78s|-13d36m38.3s|G     |  0.020084|Sy 2                                    
11382|171.23438 -3.81119            | 0.0|2MASX J11245626-0348399       |11h24m56.25s|-03d48m40.3s|G     |  0.022646|Sy 2                                    
11521|206.76814 +11.10622           | 0.2|MRK 1361                      |13h47m04.36s|+11d06m22.6s|G     |  0.022599|Sy 2                                    
11555|277.20026 +50.37244           | 0.1|ARK 539                       |18h28m48.06s|+50d22m20.9s|G     |  0.016895|Sy 2                                    
11618|258.53845 +39.49831           | 0.2|CGCG 225-075                  |17h14m09.22s|+39d29m53.8s|G     |  0.036342|Sy 2                                    
11621|19.03009 +33.08936            | 0.8|NGC 0449                      |01h16m07.25s|+33d05m22.4s|G     |  0.015946|Sy 2                                    
11636|115.67382 +65.17709           | 0.1|MRK 0078                      |07h42m41.73s|+65d10m37.5s|G     |  0.037150|Sy 2                                    
11679|147.57780 +75.74804           | 0.2|CGCG 350-032                  |09h50m18.72s|+75d44m52.8s|G     |  0.036879|Sy 2 ?                                  
11693|26.20834 +21.88243            | 0.1|CGCG 482-008                  |01h44m50.00s|+21d52m56.7s|G     |  0.035051|Sy 2                                    
11785|29.19190 +36.88639            | 0.0|UGC 01416                     |01h56m46.06s|+36d53m11.0s|G     |  0.018246|Sy 2                                    
12046|48.77230 +1.50844             | 0.3|KUG 0312+013                  |03h15m05.33s|+01d30m30.2s|G     |  0.024017|Sy 2                                    
12079|155.24062 -4.95048            | 0.0|2MASX J10205774-0457019       |10h20m57.75s|-04d57m01.7s|G     |  0.039500|Sy 2                                    
12090|156.30431 +67.29711           | 0.0|KUG 1021+675                  |10h25m13.03s|+67d17m49.6s|G     |  0.038600|Sy 2                                    
12214|159.14906 +5.91058            | 0.5|CGCG 037-092                  |10h36m35.81s|+05d54m38.1s|G     |  0.011691|Sy 2                                    
13197|254.56453 +39.39150           | 0.2|2MFGC 13581                   |16h58m15.50s|+39d23m29.3s|G     |  0.034324|Sy 2                                    
13271|274.03903 +42.65633           | 0.0|UGC 11185 NED01               |18h16m09.37s|+42d39m22.8s|G     |  0.041449|Sy 2                                    
13349|254.31715 +27.84963           | 0.2|NGC 6264                      |16h57m16.13s|+27d50m58.6s|G     |  0.033947|Sy 2                                    
13597|180.43713 +20.32823           | 0.4|CGCG 127-135                  |12h01m44.92s|+20d19m42.0s|G     |  0.023516|Sy 2                                    
13737|345.53314 +25.66977           | 0.1|UGC 12318                     |23h02m07.95s|+25d40m11.2s|G     |  0.032552|Sy 2                                    
13987|164.47321 -4.90494            | 0.0|IC 0657                       |10h57m53.57s|-04d54m17.8s|G     |  0.032316|Sy 2                                    
14079|124.00569 +58.33407           | 0.9|SBS 0811+584                  |08h16m01.41s|+58d20m03.5s|G     |  0.025267|Sy 2                                    
14302|154.51390 -3.79480            | 0.1|2MASX J10180333-0347414       |10h18m03.34s|-03d47m41.3s|G     |  0.039851|Sy 2                                    
14321|268.57822 +18.94847           | 0.4|2MASX J17541877+1856543       |17h54m18.76s|+18d56m54.8s|G     |  0.039500|Sy 2                                    
14438|117.49370 +55.92436           | 0.8|ARK 141                       |07h49m58.39s|+55d55m27.8s|G     |  0.035234|Sy 2                                    
14722|350.68268 +8.36039            | 0.6|2MASX J23224385+0821375       |23h22m43.82s|+08d21m36.9s|G     |  0.037793|Sy 2                                    
156|                              | 0.9|MESSIER 104                   |12h39m59.43s|-11d37m23.0s|G     |  0.003416|unobscured Seyfert 2                    
399|189.08669 +25.98739           | 1.1|NGC 4565                      |12h36m20.78s|+25d59m15.6s|G     |  0.004103|unobscured Seyfert 2                    
477|189.43166 +11.81809           | 1.2|MESSIER 058                   |12h37m43.52s|+11d49m05.5s|G     |  0.005060|unobscured Seyfert 2                    
860|154.22359 +73.40069           | 0.2|NGC 3147                      |10h16m53.65s|+73d24m02.7s|G     |  0.009346|unobscured Seyfert 2                    
979|192.09550 +8.48730            | 0.4|NGC 4698                      |12h48m22.91s|+08d29m14.6s|G     |  0.003366|unobscured Seyfert 2                    
2140|248.13274 +82.53791           | 0.2|NGC 6251                      |16h32m31.97s|+82d32m16.4s|G     |  0.024710|unobscured Seyfert 2                    
5932|                              | 3.1|ESO 540- G 001                |00h34m13.82s|-21d26m20.6s|G     |  0.026845|unobscured Seyfert 2                    
