UGC_09759|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/15/CGCG_1509.3+5532:S:UBVR:f2000.fits.gz']
CGCG_141-034|[]
IC_5350|[]
UGC_03132|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_0439.0+8234:S:UBVR:f2000.fits.gz']
CGCG_329-035|[]
CGCG_263-020|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_0810.7+5517:S:UBVR:f2000.fits.gz']
CGCG_287-074|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/08/CGCG_0819.4+6226:S:UBVR:f2000.fits.gz']
CGCG_157-045_NED02|[]
CGCG_138-014|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1625.2+2143:S:UBVR:f2000.fits.gz']
IC_1635|[]
IC_1701|[]
CGCG_175-004|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/06/CGCG_0628.7+3309:S:UBVR:f2000.fits.gz']
KUG_0718+565|[]
ESO_063-_G_011|[]
2MASX_J13262124-1213034|[]
2MASX_J22333889+5110463|[]
UGC_00741|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0108.5+0830:S:UBVR:f2000.fits.gz']
LCRS_B110246.5-034222|[]
CGCG_269-063|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/12/CGCG_1226.1+5353:S:UBVR:f2000.fits.gz']
NGC_4693|[]
UGC_08361|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1315.8+0635:S:UBVR:f2000.fits.gz']
UGC_10547|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1645.1+3415:S:UBVR:f2000.fits.gz']
CGCG_500-032|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/00/CGCG_0026.5+3043:S:UBVR:f2000.fits.gz']
MCG_-02-06-056|[]
CGCG_505-035|[]
CGCG_420-021|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_0455.5+0355:S:UBVR:f2000.fits.gz']
ESO_366-_G_028|[]
CGCG_087-039|[]
UGC_11379|[]
UGC_11871|[]
CGCG_421-034|[]
WKK_0787|[]
ESO_322-_G_028|[]
IC_4051|[]
NGC_5280|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1340.6+3007:S:UBVR:f2000.fits.gz']
3C_353|[]
IC_5274|[]
ESO_414-_G_001|[]
UGC_01585|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/02/CGCG_0202.9+4458:S:UBVR:f2000.fits.gz']
UGC_01965|[]
UGC_03352|[]
UGC_08619|[]
IC_1476|[]
UGC_00375|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/00/CGCG_0035.1+2522:S:UBVR:f2000.fits.gz']
NGC_0229|[]
IC_1764|[]
CGCG_540-059|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/03/CGCG_0310.2+4054:S:UBVR:f2000.fits.gz']
NGC_3701|[]
NGC_5349|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1351.0+3808:S:UBVR:f2000.fits.gz']
UGC_10169|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1602.2+1457:S:UBVR:f2000.fits.gz']
NGC_0463|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/01/CGCG_0116.3+1603:S:UBVR:f2000.fits.gz']
ESO_201-_G_022|[]
CGCG_204-020|[]
UGC_03612|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/06/CGCG_0654.2+3909:S:UBVR:f2000.fits.gz']
CGCG_205-009|[]
UGC_03753|[]
UGC_05277|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/04/CGCG_0947.8+6544:S:UBVR:f2000.fits.gz']
UGC_09798|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/15/CGCG_1514.2+0735:S:UBVR:f2000.fits.gz']
NGC_6486|[]
CGCG_256-010|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/19/CGCG_1911.7+4514:S:UBVR:f2000.fits.gz']
ESO_600-_G_004|[]
MCG_+04-06-010|[]
UGC_02433|[]
UGC_02986|[]
CGCG_175-011|[]
UGC_05415|[]
UGC_10511|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/16/CGCG_1640.0+5118:S:UBVR:f2000.fits.gz']
CGCG_171-048|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/18/CGCG_1800.9+2918:S:UBVR:f2000.fits.gz']
2MASX_J20173144+7207257|[]
UGC_02785|[]
IC_4572|[]
2MASX_J17122070-2318318|[]
2MASX_J19520858-5503453|[]
CGCG_257-028|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/19/CGCG_1957.6+5040:S:UBVR:f2000.fits.gz']
