MESSIER_096|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_3368:S:UBVR:k1992.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/10/CGCG_1044.1+1205:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_3368:S:FIR:b2008.fits.gz']
NGC_1097|['http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_1097:S:FIR:b2008.fits.gz']
NGC_1399|[]
NGC_2403|['http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_2403:S:B:hbc1980.fits.gz']
NGC_4697|[]
NGC_5005|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/13/CGCG_1308.6+3719:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_5005:S:FIR:b2008.fits.gz']
NGC_4526|[]
NGC_0055|[]
NGC_4216|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0167:S:BVR:gzs2004.fits.gz']
NGC_2997|[]
MESSIER_058|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1727:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/VCC_1727:S:FIR:b2008.fits.gz']
NGC_4631|['http://ned.ipac.caltech.edu/spc1/1992/1992ApJS...79..255K/NGC_4631:S:UBVR:k1992.fits.gz']
NGC_4636|[]
MESSIER_090|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1690:S:BVR:gzs2004.fits.gz', 'http://ned.ipac.caltech.edu/spc1/2008/2008ApJS..178..280B/NGC_4569:S:FIR:b2008.fits.gz']
NGC_2640|[]
NGC_4365|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0731:S:BVR:gzs2004.fits.gz']
NGC_2663|[]
MESSIER_100|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_0596:S:BVR:gzs2004.fits.gz']
NGC_5907|['http://ned.ipac.caltech.edu/spc1/2000/2000UZC...C......0F/15/CGCG_1514.6+5630:S:UBVR:f2000.fits.gz', 'http://ned.ipac.caltech.edu/spc1/1980/1980A+AS...40..295H/NGC_5907:S:B:hbc1980.fits.gz']
NGC_4753|[]
NGC_1407|[]
MESSIER_089|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1632:S:BVR:gzs2004.fits.gz']
NGC_3384|[]
MESSIER_059|['http://ned.ipac.caltech.edu/spc1/2004/2004A+A...417..499G/VCC_1903:S:BVR:gzs2004.fits.gz']
